time,t_ramp,f_pull,f_mag_z,f_net_z,z_disp,min_dist,separated
0.3000000000000002,0.0,0.0,0.0,-5.734018533045958,0.0,0.010448369680495275,False
0.3010000000000002,0.0010000000000000009,0.10000000000000009,0.0,-5.634018533045959,-1.1046772305358326e-07,0.01044825904574011,False
0.3020000000000002,0.0020000000000000018,0.20000000000000018,0.0,-5.534018533045958,-2.186084582164185e-07,0.010448148578017057,False
0.3030000000000002,0.0030000000000000027,0.30000000000000027,0.0,-5.434018533045958,-3.24446324244428e-07,0.010448040437281895,False
0.3040000000000002,0.0040000000000000036,0.40000000000000036,0.0,-5.334018533045958,-4.2798927750453426e-07,0.010447934599415865,False
0.3050000000000002,0.0050000000000000044,0.5000000000000004,0.0,-5.234018533045958,-5.292452266499685e-07,0.010447831056462605,False
0.3060000000000002,0.006000000000000005,0.6000000000000005,0.0,-5.134018533045958,-6.282219154664189e-07,0.010447729800513459,False
0.3070000000000002,0.007000000000000006,0.7000000000000006,0.0,-5.034018533045957,-7.249269248007514e-07,0.010447630823824645,False
0.3080000000000002,0.008000000000000007,0.8000000000000007,0.0,-4.934018533045958,-8.193676735904668e-07,0.010447534118815308,False
0.3090000000000002,0.009000000000000008,0.9000000000000008,0.0,-4.834018533045958,-9.115514198763589e-07,0.01044743967806652,False
0.3100000000000002,0.010000000000000009,1.0000000000000009,0.0,-4.734018533045957,-1.0014852617919913e-06,0.010447347494320235,False
0.3110000000000002,0.01100000000000001,1.100000000000001,0.0,-4.634018533045957,-1.0891761385303453e-06,0.01044725756047832,False
0.3120000000000002,0.01200000000000001,1.200000000000001,0.0,-4.534018533045957,-1.1746308312879017e-06,0.01044716986960158,False
0.3130000000000002,0.013000000000000012,1.3000000000000012,0.0,-4.434018533045958,-1.2578559641862814e-06,0.010447084414908823,False
0.3140000000000002,0.014000000000000012,1.4000000000000012,0.0,-4.334018533045957,-1.3388580051717326e-06,0.010447001189775923,False
0.3150000000000002,0.015000000000000013,1.5000000000000013,0.0,-4.2340185330459565,-1.4176432668927048e-06,0.010446920187734939,False
0.3160000000000002,0.016000000000000014,1.6000000000000014,0.0,-4.134018533045957,-1.4942179075555891e-06,0.010446841402473218,False
0.3170000000000002,0.017000000000000015,1.7000000000000015,0.0,-4.034018533045957,-1.5685879317590254e-06,0.010446764827832555,False
0.3180000000000002,0.018000000000000016,1.8000000000000016,0.0,-3.9340185330459567,-1.6407591913067423e-06,0.01044669045780835,False
0.31900000000000023,0.019000000000000017,1.9000000000000017,0.0,-3.8340185330459566,-1.7107373859993294e-06,0.010446618286548805,False
0.32000000000000023,0.020000000000000018,2.0000000000000018,0.0,-3.7340185330459565,-1.77852806440497e-06,0.010446548308354111,False
0.32100000000000023,0.02100000000000002,2.100000000000002,0.0,-3.6340185330459565,-1.844136624609417e-06,0.010446480517675704,False
0.32200000000000023,0.02200000000000002,2.200000000000002,0.0,-3.5340185330459564,-1.9075683149453364e-06,0.010446414909115501,False
0.32300000000000023,0.02300000000000002,2.300000000000002,0.0,-3.4340185330459563,-1.9688282347011987e-06,0.010446351477425163,False
0.32400000000000023,0.02400000000000002,2.400000000000002,0.0,-3.334018533045956,-2.0279213348098696e-06,0.010446290217505408,False
0.32500000000000023,0.025000000000000022,2.500000000000002,0.0,-3.234018533045956,-2.084852418517102e-06,0.0104462311244053,False
0.32600000000000023,0.026000000000000023,2.6000000000000023,0.0,-3.134018533045956,-2.1396261420300307e-06,0.010446174193321592,False
0.32700000000000023,0.027000000000000024,2.7000000000000024,0.0,-3.034018533045956,-2.192247015145841e-06,0.01044611941959808,False
0.32800000000000024,0.028000000000000025,2.8000000000000025,0.0,-2.934018533045956,-2.2427194018607787e-06,0.010446066798724963,False
0.32900000000000024,0.029000000000000026,2.9000000000000026,0.0,-2.8340185330459557,-2.2910475209596157e-06,0.010446016326338249,False
0.33000000000000024,0.030000000000000027,3.0000000000000027,0.0,-2.7340185330459557,-2.3372354465856846e-06,0.010445967998219152,False
0.33100000000000024,0.031000000000000028,3.1000000000000028,0.0,-2.6340185330459556,-2.381287108791673e-06,0.010445921810293525,False
0.33200000000000024,0.03200000000000003,3.200000000000003,0.0,-2.5340185330459555,-2.423206294071249e-06,0.010445877758631318,False
0.33300000000000024,0.03300000000000003,3.300000000000003,0.0,-2.4340185330459554,-2.4629966458716845e-06,0.01044583583944604,False
0.33400000000000024,0.03400000000000003,3.400000000000003,0.0,-2.3340185330459553,-2.500661665087534e-06,0.010445796049094238,False
0.33500000000000024,0.03500000000000003,3.500000000000003,0.0,-2.234018533045955,-2.5362047105355348e-06,0.010445758384075023,False
