id,cost,elapsed_min,x_drift_mm,y_drift_mm,z_drift_mm,x_cost,y_cost,z_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
034fa3c1,0.018421430175702906,0.1,2.253139376727873,3.2550928141903483,34.08874425594671,0.0005632848441819682,0.000813773203547587,0.017044372127973353,0.1993100709452574,0.002874223669426775,4.946613168877267e-05,0.009055529556270276,0.42975298406136814,0.00026900333149851416,0.968070582529494,4.730236174578289,29.859153660095863,4.6001632589744214e-05,0.0017872916114269031,0.8063697911592902,0.040943259645358665,816.8905499221898
dd71442c,0.01133728747214805,0.1,1.866012813310208,2.110959132370566,20.686088971455714,0.000466503203327552,0.0005277397830926415,0.010343044485727856,0.04295756422555143,0.0021444362438545104,1.5708998330346772e-05,0.003928938310446146,0.22758888578408776,0.0001192068806249882,0.9397040528052174,4.432265416510619,30.020259040227828,1.1818484916793519e-05,0.0016750156121139899,1.0525935015564154,0.015641476661022495,973.8158448775185
2d9c3ffe,0.010807149756831523,0.1,1.290166075510898,7.35434543181833,17.292043759998432,0.00032254151887772445,0.0018385863579545826,0.008646021879999216,0.09339494933808686,0.0025851846141411662,2.0868283446346104e-05,0.011368139889934525,0.4959507747329578,0.0001522933903229267,0.7467687614763326,4.133737748566864,30.062660868786388,8.167329288255346e-06,0.000776378301971622,1.0952352792353568,0.05769525428535812,954.8077302133473
a8698769,0.00957109154107298,0.1,1.0081259824268523,6.72507363056852,15.275583275648275,0.00025203149560671306,0.00168126840764213,0.007637791637824138,0.13056311803655463,0.002568434936758969,1.1387810578737103e-05,0.0019232884507032308,0.36180639453180125,0.0006563603396399252,0.6030876958689249,3.971074730424728,30.097227968720716,2.423659482073512e-05,0.0014990809424062408,1.3266466775618337,0.07061610116703244,1019.7892635857074
9bc831e9,0.01329856364131421,0.1,2.9081901964925683,12.688017421396827,18.79902347368372,0.0007270475491231421,0.0031720043553492066,0.009399511736841861,0.07920447887255155,0.0025540885841656047,3.975389984867625e-05,0.006203926927048612,0.35624567502786786,0.00027816424948169834,0.16809239556858502,4.141129041113973,30.243764711324804,8.0702146621604e-05,0.002381423535591114,1.5899946728992096,0.04447194052715104,882.466938061067
44502d9c,0.004620788861707474,0.1,1.083029212264698,7.55276517174565,4.923680531409775,0.00027075730306617453,0.0018881912929364123,0.0024618402657048876,0.18152384390307244,0.009149821419043911,3.0849782856582656e-05,0.0093196183106372,0.18793475878613752,0.0005579241422278355,0.5261146800657428,4.410295552277079,30.027529019492828,8.011432159817545e-06,0.002147284558689173,1.1794179429065261,0.09495987827374779,892.0977157910166
77ea1446,0.009447147729024986,0.1,1.7738837547398119,7.3913790586550165,14.311664051352558,0.00044347093868495296,0.0018478447646637542,0.007155832025676279,0.0809034267427688,0.002236002832299955,5.951447363248767e-05,0.003968500045340962,0.34106966845279785,0.00045079903697230244,0.5291238888810588,4.790600762088107,29.78937805415288,2.521727742862326e-05,0.001889194412488823,0.5192770143067864,0.04250406954423689,963.2801048187304
54bf0bf3,0.01809201277634905,0.1,1.5453772892259467,3.6623000640288743,33.580186876070684,0.0003863443223064867,0.0009155750160072186,0.016790093438035343,0.1419217752058383,0.0026892031335879083,1.189558335228154e-05,0.0023648579065057755,0.3971841762549784,0.00018168225904488907,0.4516132496523704,4.621218287463668,30.565871937901846,3.567590734262526e-05,0.00291082503904865,0.9661836801664964,0.012026559624081761,935.4582811768474
9610dd56,0.0037133337572032386,0.1,0.7214974592411062,5.121580707328643,4.505128431121603,0.00018037436481027654,0.0012803951768321606,0.0022525642155608017,0.14742938735204061,0.017337052844160723,2.7687981643709608e-05,0.003894620737291021,0.4895863203226371,0.00014105559846474045,0.8428541911513149,4.725585549374272,30.237316364483608,1.6872327408667625e-05,0.004291370551894975,0.5287598744105895,0.0519583434863509,1087.319612054085
4c440474,0.01584795479254654,0.1,0.9861523044938993,3.660402654441178,29.372632105625538,0.00024653807612347485,0.0009151006636102945,0.01468631605281277,0.07134344890457543,0.0021385040366532684,3.38762729213506e-05,0.0022333443251238943,0.036107444454275786,0.0003315654424789104,0.18130205671369665,4.642081281178184,29.724164848838125,9.225613740516871e-05,0.0013649905460939252,0.8617207460677562,0.060765384173907026,845.547613957656
