trial_id,reward,reward_hold,reward_drive,termination_hold,termination_drive,slip_m,contact_percentage_hold,detachment_fraction_hold,detached_hold,progress_m,progress_rate_mps,contact_percentage_drive,detachment_fraction_drive,detached_drive,stuck,walltime_s
0,-959.3196988653315,-959.3196988653315,-760.5999999999999,detached,ok,1.1439397730662797,0.0464,0.9536,True,0.0,0.0,0.2394,0.7605999999999999,False,False,1.0629167556762695
1,-1000.1823633954797,-1000.1823633954797,-1000.0,detached,detached,0.03647267909592555,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.3979737758636475
2,-1000.0595349472992,-1000.0595349472992,-1000.0,detached,detached,0.011906989459834974,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.6446096897125244
3,-1000.0468667206978,-1000.0468667206978,-1000.0,detached,detached,0.009373344139557817,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.621952772140503
4,-1000.2910031159564,-1000.2910031159564,-1000.0,detached,detached,0.058200623191274836,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.6791257858276367
5,-618.636135632325,-618.636135632325,-611.1999999999999,ok,ok,0.4872271264649894,0.3838,0.6162000000000001,False,0.0,0.0,0.3888,0.6112,False,False,1.058696985244751
6,-607.5031116093417,-607.5031116093417,-508.7999999999999,ok,ok,0.22062232186831676,0.3936,0.6064,False,0.0,0.0,0.4912,0.5087999999999999,False,False,1.1058697700500488
7,-898.7308338114251,-898.7308338114251,-385.2,detached,ok,8.426166762285009,0.1434,0.8566,True,0.0,0.0,0.6148,0.3852,False,False,1.4458937644958496
8,-1303.2826794318748,-1303.2826794318748,-556.2,detached,ok,83.69653588637497,0.1152,0.8848,True,0.0,0.0,0.4438,0.5562,False,False,1.0856578350067139
9,-689.7097037644662,-689.7097037644662,-488.2,ok,ok,0.6219407528932416,0.3134,0.6866,False,0.0,0.0,0.5118,0.48819999999999997,False,False,1.331336498260498
10,-1000.0449125253145,-1000.0449125253145,-1000.0,detached,detached,0.008982505062902893,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.6989717483520508
11,-943.836582727819,-943.836582727819,-931.8,detached,detached,0.20731654556379633,0.0572,0.9428,True,0.0,0.0,0.0682,0.9318,True,False,0.9393479824066162
12,-1090.825880784994,-1090.825880784994,-537.2,detached,ok,26.965176156998805,0.044,0.956,True,0.0,0.0,0.4628,0.5372,False,False,1.134622573852539
13,-872.6,-648.4654993874864,-872.6,ok,detached,0.05309987749726229,0.3518,0.6482,False,0.0,0.0,0.1274,0.8726,True,False,0.936725378036499
14,-974.6782542873987,-974.6782542873987,-799.2,detached,ok,1.9356508574797398,0.035,0.965,True,0.0,0.0,0.2008,0.7992,False,False,1.0125207901000977
15,-959.2235223982212,-959.2235223982212,-634.1999999999999,detached,ok,1.0447044796442484,0.046,0.954,True,0.0,0.0,0.3658,0.6342,False,False,0.9709603786468506
16,-1000.0544993173287,-1000.0544993173287,-1000.0,detached,detached,0.010899863465748552,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.5798702239990234
17,-773.5313288194014,-773.5313288194014,-557.8000000000001,ok,ok,0.14626576388030585,0.2272,0.7727999999999999,False,0.0,0.0,0.4422,0.5578000000000001,False,False,1.2346060276031494
18,-1000.064372479054,-1000.064372479054,-1000.0,detached,detached,0.012874495810806788,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.6056413650512695
19,-973.392876810792,-973.392876810792,-824.0000000000001,detached,detached,2.078575362158407,0.037,0.963,True,0.0,0.0,0.176,0.8240000000000001,True,False,0.9225878715515137
