id,cost,elapsed_min,pulloff_force,detach_cost,achieved,goal,shortfall,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
fbbd4bd3,0.000000,0.33,1036.8000,0.000000,1036.8000,956.3700,0.000000,0.22779083,0.01079936,4.5891953e-05,0.002645289,0.0010101559,0.00075404343,0.16283701,4.6209971,29.917993,1.7779027e-05,0.0042199792,0.8852297,0.020958197,987.37513
7822a870,0.000000,0.33,1148.6200,0.000000,1148.6200,956.3700,0.000000,0.13102964,0.0031079284,2.9870558e-05,0.0013690248,0.26890712,0.00039380258,0.29893912,4.1738468,30.492259,1.3278037e-05,0.0021571691,1.4000649,0.071248041,1099.296
e5452d1f,0.000000,0.33,1105.3000,0.000000,1105.3000,956.3700,0.000000,0.046991443,0.0079085089,1.9623893e-05,0.0041023008,0.4656446,0.00042256196,0.4297656,4.3199857,29.904911,5.0823595e-05,0.004425294,0.62016273,0.060293519,1055.9475
38d790ed,0.000000,0.33,1228.8000,0.000000,1228.8000,956.3700,0.000000,0.072022716,0.0013924837,4.6917245e-05,0.0036723175,0.42510683,0.00051688363,0.69183296,4.7824145,29.655161,2.9626379e-05,0.0026194654,0.67413566,0.029937422,1179.5393
493f5deb,0.000000,0.33,1240.8200,0.000000,1240.8200,956.3700,0.000000,0.09447456,0.0013039413,3.7518882e-05,0.0018573403,0.78790592,0.00033848106,0.71952875,4.1622157,29.518126,7.9018916e-06,0.0017450942,0.61423817,0.098115713,1191.5364
df839217,0.000000,0.33,1249.1800,0.000000,1249.1800,956.3700,0.000000,0.092869752,0.008025012,2.7058793e-05,0.0022020948,0.26275076,0.00025545931,0.018996937,4.021008,29.853929,1.7071064e-05,0.0047991903,1.9338963,0.06001951,1199.8575
d02e0812,0.000000,0.33,1248.8400,0.000000,1248.8400,956.3700,0.000000,0.17807012,0.0020746606,1.6427244e-05,0.003345591,0.52832103,0.00031437308,0.49416044,4.8532403,29.875251,5.6989732e-05,0.0047715975,0.83996468,0.020997807,1199.6071
1b2f649a,0.000000,0.33,1177.2200,0.000000,1177.2200,956.3700,0.000000,0.55553963,0.0073394895,7.2665889e-05,0.0033408726,0.20688523,0.001864587,0.88512399,4.371548,30.010733,3.4612334e-05,0.0042832753,1.4034795,0.074584576,1127.9145
74854752,0.228311,0.33,738.0200,0.228311,738.0200,956.3700,0.228311,0.089964071,0.0053663141,3.454646e-05,0.0037766875,0.46631952,9.4173709e-05,0.013885513,4.1428631,29.974512,2.2379117e-05,0.0019010736,1.2280337,0.065865704,688.39281
baec2607,0.000000,0.33,1233.7800,0.000000,1233.7800,956.3700,0.000000,0.2265867,0.003617832,6.5128398e-05,0.0034112582,0.86155551,0.00031569144,0.39272813,4.8033304,30.573347,2.1414824e-05,0.0034253382,1.463102,0.048845584,1184.4759
