trial_id,reward,reward_hold,reward_drive,termination_hold,termination_drive,slip_m,contact_percentage_hold,detachment_fraction_hold,detached_hold,progress_m,progress_rate_mps,contact_percentage_drive,detachment_fraction_drive,detached_drive,stuck,walltime_s
17,-159.54407121040325,-142.18884462588818,-159.54407121040325,ok,ok,1.7977689251776399,0.8668,0.13319999999999999,False,-7.428814242080661,-1.4860600604282166,0.8776,0.12239999999999995,False,False,2.338186740875244
18,-221.3566261841343,-221.3566261841343,-158.1174884858464,ok,ok,2.9513252368268645,0.7934,0.2066,False,6.2565023028307225,1.2515507707202875,0.8106,0.1894,False,False,2.2272589206695557
19,-196.8274923957166,-145.1639356676232,-196.8274923957166,ok,ok,3.672787133524639,0.8732,0.12680000000000002,False,-16.00549847914332,-3.201740043837429,0.8832,0.11680000000000001,False,False,1.9648911952972412
20,-266.9924794089779,-235.7640674407872,-266.9924794089779,ok,ok,1.1928134881574364,0.7702,0.2298,False,-11.238495881795577,-2.2481488061203376,0.7892,0.2108,False,False,2.636625289916992
21,-195.37643489799828,-147.9321876509948,-195.37643489799828,ok,ok,2.586437530198958,0.865,0.135,False,-14.235286979599662,-2.847626921304191,0.8758,0.12419999999999998,False,False,2.344839572906494
22,-176.98413784670788,-176.98413784670788,-156.08227269391486,ok,ok,0.11682756934157645,0.8236,0.1764,False,1.1435454612170404,0.7483936264509709,0.8382,0.16180000000000005,False,False,1.6664023399353027
23,-234.23809443794372,-234.23809443794372,-215.4092380096633,ok,ok,0.04761888758874366,0.766,0.23399999999999999,False,-0.20184760193265594,-0.0403775959057123,0.7856,0.21440000000000003,False,False,2.966383695602417
24,-999.8864140249606,-999.8857564102168,-999.8864140249606,detached,detached,0.01715128204335223,0.0002,0.9998,True,-0.017282804992097445,-0.003457252448909268,0.0002,0.9998,True,False,2.520190954208374
25,-189.29393392598698,-177.62852446092273,-189.29393392598698,ok,ok,1.8057048921845535,0.8314,0.16859999999999997,False,-6.898786785197388,-1.380033363712219,0.8452,0.15480000000000005,False,False,2.4248623847961426
26,-568.9055064024811,-292.50937508215867,-568.9055064024811,ok,ok,0.021875016431737393,0.7076,0.2924,False,-0.021101280496242936,-0.0042211003193124465,0.4312,0.5688,False,False,2.841334581375122
27,-130.059872347271,-130.059872347271,-116.15929048648553,ok,ok,0.5719744694542093,0.8728,0.12719999999999998,False,0.08814190270290084,0.017631906921964546,0.8834,0.11660000000000004,False,False,2.8144264221191406
28,-18.775468959671404,-18.775468959671404,-15.398732908864611,ok,ok,0.03509379193429019,0.9814,0.01859999999999995,False,0.0002534182270719776,0.0,0.9846,0.01539999999999997,False,False,1.2626807689666748
29,-203.11776524334348,-177.2859388962981,-203.11776524334348,ok,ok,0.7771877792596185,0.8266,0.1734,False,-8.783553048668693,-1.757062022138165,0.8408,0.1592,False,False,2.6453726291656494
