id,cost,elapsed_min,fl_x_drift_mm,fl_y_drift_mm,fl_z_drift_mm,stance_drift_mm,fl_x_cost,fl_y_cost,fl_z_cost,stance_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
bc5a7def,0.013157013967048862,0.5,1.6754715925189227,2.9931156502491105,10.14333792788498,24.554845238896785,0.00021781130702745998,0.0003891050345323844,0.003955901791875142,0.008594195833613875,0.17455412716903512,0.001541717379402757,5.31049933439587e-05,0.006055770596097336,0.001,0.0001286311486869066,0.5383521209501856,4.405127222296925,29.99495965274871,1.754231162888777e-05,0.005,1.711345040621938,0.03625766502280145,1099.9999999999998
19f5660e,0.01554090693405261,0.5,2.238803166912989,4.729633143880676,9.74399677944317,30.95671848476171,0.0002910444116986886,0.0006148523087044879,0.003800158743982837,0.010834851469666597,0.19532948297051236,0.001746675630871302,4.079671881717689e-05,0.0016305541261117476,0.7635350903921818,0.0003055077464650103,0.4445412909364218,4.295721136678818,30.36676240160221,2.842111784510262e-05,0.0,0.7840792032120625,0.050036091575532377,1099.9999999999998
e7418faf,0.20999668653465278,0.5,242.32075175186694,192.4098129621021,276.69010668251445,130.20734718758905,0.0315016977277427,0.025013275685073274,0.10790914160618065,0.04557257151565617,0.1880766070095289,0.0042583985070180855,0.00013883350251789065,0.002388226401436695,0.3463271812785388,0.0001802470566092087,0.6847938267726487,4.838691687816268,29.96581576270354,1.7699176367724527e-05,0.0,1.5673927599135997,0.057885111527482026,1099.9999999999998
65f99472,0.02660598558428707,0.5,3.2776095165069963,15.442453567006217,44.712297891928955,19.241660587365885,0.00042608923714590956,0.002007518963710808,0.01743779617785229,0.00673458120557806,0.08930218510949428,0.003712345573856218,3.42772319047174e-05,0.003677956420245619,0.7614286333844569,0.00036904443827741757,0.7036740689215685,4.520273720846667,30.086735819606997,4.8908739233801864e-05,0.0,0.8018601577351495,0.025031036109919472,800.0000000000003
069bf728,0.029211865115589625,0.5,3.9499997306909047,26.16538408173981,41.42180267161719,26.12103479440836,0.0005134999649898176,0.003401499930626175,0.016154503041930706,0.009142362178042925,0.11694248613367812,0.008881419696362452,1.738804138958939e-05,0.006172818483323535,0.001,0.00025091954480215993,0.5488259195315017,4.675866699407783,30.213367973937856,5.470212159513582e-05,0.0,0.7265984418388394,0.06265898959455184,821.9587795104903
9380aea4,0.010419801381915283,0.5,0.7219157506024806,9.111086298955584,6.824224008807062,18.514467862965663,9.384904757832248e-05,0.0011844412188642258,0.0026614473634347545,0.006480063752037982,0.05858805773122107,0.0014454858204506094,1.6755767062493602e-05,0.004458083753042613,0.5427277208211696,0.0005095016634104092,0.37182420609903977,4.547561907323014,30.1876771181902,2.5538538377611865e-05,0.005,0.6330269761661187,0.02695718065249593,800.0000000000003
81620941,0.10681997262042699,0.5,44.60245731940496,161.46206743047568,148.06682645621922,63.67292024290576,0.0057983194515226445,0.02099006876596184,0.05774606231792549,0.022285522085017013,0.06191032789316325,0.00442681878549808,2.2865426048219804e-05,0.003189688228336782,0.6442239976717727,0.00043048631783500153,0.6996155326918359,4.470454354647173,29.873010506386755,2.9928471466179084e-05,0.0,0.5,0.01389251067974167,800.0000000000003
65224179,0.006660460886503982,0.5,1.5322763619169621,4.9654849198227184,5.558884852097099,10.422248078742731,0.00019919592704920508,0.0006455130395769534,0.0021679650923178686,0.0036477868275599555,0.18640058278452895,0.0016918282924484134,2.43529307491297e-05,0.007758334305184654,0.39312080868157223,0.0005263258136830253,0.2199146959970369,4.438368732639711,29.714993383526824,2.5020159689962504e-05,0.005,0.5,0.046764652991116346,1099.9999999999998
21fdd0c3,0.09680285702893225,0.5,58.42335931292612,67.77547080943756,150.63531977868158,61.85495542668332,0.007595036710680395,0.008810811205226884,0.05874777471368582,0.02164923439933916,0.09381450925798053,0.001164615708626237,3.32383037486399e-05,0.002193573481838048,0.5698028634064112,0.00032103741046524283,0.9805336673962746,4.4281933117580925,29.69295075221344,3.579172999044876e-05,0.005,2.0,0.06167710729947884,1099.9999999999998
a9d0051d,0.10453444694082044,0.5,10.973985618927152,66.31104070274799,161.42460269974532,90.0908527602914,0.0014266181304605297,0.008620435291357238,0.06295559505290067,0.03153179846610199,0.38860274604456857,0.0013911407862836692,2.0327058646637307e-05,0.0016673517035254957,0.3830570590532696,0.00012217832186129843,0.6905452840443213,4.433333190870368,29.5587581116492,1.5679285770711633e-05,0.005,1.784177138987058,0.1,1099.9999999999998
