id,cost,elapsed_min,pulloff_force,pulloff_shortfall,pulloff_cost,wrench_achieved,wrench_shortfall,wrench_detach_cost,wrench_drift_cost,xy_drift,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
fd6d20e9,0.738472,0.28,360.2800,0.623284,0.623284,26.5916,0.512197,0.153659,0.700000,41.8920,0.19931007,0.0028742237,4.9466132e-05,0.0090555296,0.42975298,0.00026900333,0.96807058,4.7302362,29.859154,4.6001633e-05,0.0017872916,0.80636979,0.04094326,302.34337
046f7a5a,0.226869,0.28,769.5600,0.195332,0.195332,59.2464,0.000000,0.000000,0.258406,3.6915,0.042957564,0.0021444362,1.5708998e-05,0.0039289383,0.22758889,0.00011920688,0.93970405,4.4322654,30.020259,1.1818485e-05,0.0016750156,1.0525935,0.015641477,713.75446
48282a55,0.481466,0.28,707.2200,0.260516,0.260516,54.0740,0.008055,0.002416,0.700000,46.4475,0.093394949,0.0025851846,2.0868283e-05,0.01136814,0.49595077,0.00015229339,0.74676876,4.1337377,30.062661,8.1673293e-06,0.0007763783,1.0952353,0.057695254,649.4453
fdfaede4,0.350000,0.28,974.8400,0.000000,0.000000,75.3777,0.000000,0.000000,0.700000,80.1483,0.13056312,0.0025684349,1.1387811e-05,0.0019232885,0.36180639,0.00065636034,0.6030877,3.9710747,30.097228,2.4236595e-05,0.0014990809,1.3266467,0.070616101,917.21552
d6232433,0.633032,0.28,503.2000,0.473844,0.473844,37.7556,0.307403,0.092221,0.700000,61.4255,0.079204479,0.0025540886,3.97539e-05,0.0062039269,0.35624568,0.00027816425,0.1680924,4.141129,30.243765,8.0702147e-05,0.0023814235,1.5899947,0.044471941,445.33243
95f21445,0.605808,0.28,530.0800,0.445738,0.445738,42.5423,0.219595,0.065878,0.700000,352.6087,0.18152384,0.0091498214,3.0849783e-05,0.0093196183,0.18793476,0.00055792414,0.52611468,4.4102956,30.027529,8.0114322e-06,0.0021472846,1.1794179,0.094959878,472.21669
0c5e3a5d,0.465912,0.28,734.6600,0.231825,0.231825,56.2859,0.000000,0.000000,0.700000,25.3905,0.080903427,0.0022360028,5.9514474e-05,0.0039685,0.34106967,0.00045079904,0.52912389,4.7906008,29.789378,2.5217277e-05,0.0018891944,0.51927701,0.04250407,676.92657
b9950dae,9999.000000,0.28,58.1000,0.939249,0.939249,0.0000,1.000000,9999.000000,0.000000,0.0000,0.14192178,0.0026892031,1.1895583e-05,0.0023648579,0.39718418,0.00018168226,0.45161325,4.6212183,30.565872,3.5675907e-05,0.002910825,0.96618368,0.01202656,592.69364
eac230ef,0.118872,0.28,1256.2400,0.000000,0.000000,97.1197,0.000000,0.000000,0.237743,3.3963,0.14742939,0.017337053,2.7687982e-05,0.0038946207,0.48958632,0.0001410556,0.84285419,4.7255855,30.237316,1.6872327e-05,0.0042913706,0.52875987,0.051958343,1198.9372
b1f672ec,0.705254,0.28,405.4200,0.576085,0.576085,30.0871,0.448076,0.134423,0.700000,47.9615,0.071343449,0.002138504,3.3876273e-05,0.0022333443,0.036107444,0.00033156544,0.18130206,4.6420813,29.724165,9.2256137e-05,0.0013649905,0.86172075,0.060765384,347.51992
