id,cost,cost_hold,cost_drive,reward_hold,reward_drive,slip_m,progress_m,progress_rate_mps,termination_hold,termination_drive,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations
ae5629ce,571.0,546.6615134748329,571.0,-546.6615134748329,-571.0,0.2523026949665866,0.0,0.0,ok,ok,1.5147745268498043,0.0005281572123417967,10.282652208788697,0.804381860757869,0.9519526913655806,0.0006305535040199287,0.9046665663213616,0.07852755494724264,8.532678095658718e-05,12.319878776395283,1.1236195345220408,4.464691453311353,9.256818992066885,0.0202414923788615,26
5c434121,591.4926141211115,591.4926141211115,522.0,-591.4926141211115,-522.0,0.2585228242222798,0.0,0.0,ok,ok,1.4934799684531486,0.0004490802253167302,15.531498822049908,0.8446709776998399,0.9724201064932843,0.0005339473630348965,0.902508671681143,0.043372363099627616,0.00013566181312606691,11.293379452781469,1.584951429486606,4.395430949570099,10.0,0.022775663126871463,28
a5712ee2,591.5011442038411,591.5011442038411,526.2,-591.5011442038411,-526.2,0.26022884076821196,0.0,0.0,ok,ok,1.5115370420457996,0.000495192289594828,13.66854711153138,0.824927831216018,0.962378761206749,0.0006025534254244984,0.9036076097119534,0.04815058027095472,0.00011614636407353583,12.253010221481539,1.3373610293196576,4.203744392187984,9.979353969860616,0.021753673369618462,27
49472d4d,606.2,542.6866096895183,606.2,-542.6866096895183,-606.2,0.2573219379036682,0.0,0.0,ok,ok,1.465472297645972,0.0004619724372526928,14.662631661472751,0.858989623500498,0.9564586028994397,0.000506126019431821,0.9030307825833235,0.0464638977663433,0.00014574047317392135,12.763043962768498,2.2617764109355654,4.808739880389515,9.143866222784514,0.013857288768809121,28
9e280a2b,606.4030441558264,606.4030441558264,189.79999999999995,-606.4030441558264,-189.79999999999995,0.28060883116526913,0.0,0.0,ok,ok,1.3681380345913994,0.00034940848665388245,46.27313766183017,0.8517051273830808,0.9641213219335949,0.00010023992983448861,0.9352568856334169,0.0001656246725411736,4.5564164652235964e-05,34.20498618668373,0.6663640798842098,15.011636851823075,0.34579974413759984,0.010389260394630203,9
72989134,618.0,566.6899102414177,618.0,-566.6899102414177,-618.0,0.25798204828353394,0.0,0.0,ok,ok,1.4831143683124133,0.00046484009929442284,13.811481638837275,0.8577156090551313,0.9636715632763165,0.0005701580462163515,0.9035305666423603,0.06348850436329975,0.00016811787684037965,14.34008148924162,3.357497113166223,4.7173668919573855,9.551026458057537,0.009655098500130285,30
20069efa,622.794091192939,622.794091192939,439.40000000000003,-622.794091192939,-439.40000000000003,0.27881823858781807,0.0,0.0,ok,ok,1.3832981362547516,0.0003662739424541887,45.273627223238634,0.8405118065136333,0.9725958533926916,0.0001,0.9350914152135745,0.00020563308735836898,4.397682709579421e-05,34.61843854170073,0.8675508554672562,14.035726141657733,0.3491415336526384,0.012210727725602569,11
c875570b,657.4,507.06619069646695,657.4,-507.06619069646695,-657.4,0.2532381392933838,0.0,0.0,ok,ok,1.4291331895725208,0.00020852913170942095,49.27363553242125,0.9593973653931791,0.9851800572128558,0.00031659402992749105,0.9038834734429424,0.00016332853202136966,0.001407115376152589,21.215400846516534,2.5499085487804543,2.892965595647223,8.521256941388401,0.019673684186862935,26
a43c9751,669.2,562.1486716229715,669.2,-562.1486716229715,-669.2,0.22973432459431226,0.0,0.0,ok,ok,1.5034641234342165,0.000724424915815573,14.198132386248993,0.8036541673168562,0.9095772402141135,0.0006002502663371896,0.9038284928101602,0.0076072729282471675,3.91571612322114e-05,10.0,0.10284092815985439,5.592063044897837,9.719902424138288,0.1,11
46992d4d,682.1999999999999,644.2336848741169,682.1999999999999,-644.2336848741169,-682.1999999999999,0.2867369748233656,0.0,0.0,ok,ok,1.4731567798571308,0.0001,30.43244940550074,0.9085393731328959,0.999,0.00034049291763956597,0.9031854415168651,0.016361482304377874,0.009542304707153719,14.577891351302537,4.999999999999999,1.6148039514414365,8.620566919393646,0.014806936799914952,30
7fcd89e7,715.2,543.984646551198,715.2,-543.984646551198,-715.2,0.236929310239616,0.0,0.0,ok,ok,1.483664320977683,0.00024621317355167884,39.86989833473785,0.8580059033707237,0.999,0.00033934540704030214,0.9031125014762037,0.0008816328005089297,0.000255784231563202,11.415696792240901,0.3557528712035232,2.8985938602992283,8.834822205618687,0.09593288489842206,21
505b3ff1,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.567776724110629,0.00022840435290631466,41.18764001091078,0.9134015300098326,0.9441374425325055,0.00015847101210439096,0.9459248891965868,0.00021618942406574447,3.727925903376984e-05,44.75983459259065,0.12469285841461956,16.85210891283815,7.53538450929555,0.005011678487323829,30
794c6cb3,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.5333710314219828,0.0004153494763786802,10.530598446394661,0.979018333580122,0.9557655335667085,0.0005899741796710488,0.9015966252220214,8.386394780402563e-05,9.20665489227477e-05,48.2240320006911,1.0873416514163665,26.035934051088407,0.22219245475399152,0.01613435412811832,10
00e18109,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.5555869774540252,0.00039760911214387133,18.317666514727556,0.9078630622857984,0.9031000159531003,0.004836927180682221,0.9449754133369765,0.00038071583792493945,0.05089035297840717,53.36690243421026,0.3587426165320525,9.314664173553306,1.1006988685589532,0.08901919015553572,26
1681e36f,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.5532067526006648,0.0004777844926723559,33.47004662655394,0.9833985083801863,0.9600963905209818,0.0003564497907039462,0.9296273505704082,4.582133690843358e-05,1.1549033124221254e-05,26.50949659364384,0.46869665564088364,3.152300460823989,0.10669882710369706,0.009071308492550079,23
e4c1285f,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.565891959997237,0.000524171982346708,47.05203514053397,0.9237046348453695,0.9905810078788343,0.0050127628110142345,0.9449450674138203,2.4079111954644568e-05,0.0003042797205957132,46.648883383260554,1.3532626924992421,10.106416797231836,0.3543590967245047,0.026863620044473364,15
203dd373,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,ok,1.619626780235175,0.0006942396769862589,38.86918084659493,0.8448371347523016,0.9253507639533711,0.00012046674587990318,0.9710662889685787,2.7769194556163865e-05,0.0005719341217670735,15.911796004861237,3.3256418753858057,6.421548250773351,1.3382928076562617,0.040165880815698655,8
96a183ec,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.510907544266234,0.00047788876391117123,18.122448989390776,0.9791421784060165,0.9592876811823651,0.0024522789265482973,0.9880467839015258,0.0031435197447135894,0.00015224209209544574,12.74953248482981,0.5965385870152049,2.3503024352065314,0.6808005465661973,0.07049269522854776,13
73a20118,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.396754208993629,0.0004906714014121389,26.153446842321635,0.8123295269507066,0.9251376259795001,0.000311710998040167,0.9696304272839789,0.007064515131755325,3.911539496057506e-05,99.48107852912817,0.2839572365355344,45.628849213282194,0.6638562167964164,0.00552039303445828,14
a9ecdb19,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.519767998031604,0.0005764938160883369,31.23738333268546,0.8850788012688875,0.9547364158180615,0.00153247517419137,0.9080853326332715,0.000301035576867463,9.303358425496503e-05,63.553541485327315,0.6295448433523514,46.860446023633614,0.6275507961547501,0.057699541326145395,25
7efe2385,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,detached,1.3766123930137673,0.0004557391437185031,37.83251227163528,0.9630881729146068,0.9322699316149866,0.0002757287773964824,0.9711149532438018,0.01729833026599908,0.0002481212435748694,12.478907085543135,3.962057871586855,4.736558858366904,1.0851822988042261,0.06149729023258802,22
d18aa52a,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.5496239712952686,0.00024635013451639964,31.657918953102637,0.9321990358755656,0.9226264521579327,0.00022382564990409238,0.9982168343329436,0.001165583967396926,0.00011048840376235817,99.14109236071427,4.367355246446875,8.882267151670803,5.824688255969174,0.008800019057804516,12
c1e6aaa6,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.5393059176719404,0.0006926627995668144,44.2529716751237,0.8768565441532161,0.987889239777335,0.005033347298469079,0.9935634994220948,0.013847220391272614,0.004741906854477645,38.07909527912933,0.4290394759826184,39.560203667773756,8.857836781385418,0.011704684421666051,13
91266ba4,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,detached,1.4757416710615232,0.0004138969000903732,49.77829850443284,0.8334257980086957,0.9017894609979366,0.0009722712197452008,0.9178822709221329,0.000292331179137677,0.0094772446582279,52.594450770640016,0.3337229276553642,8.351405627357144,1.0414253710293573,0.03364014257819259,11
a2ebb7d7,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,detached,1.5066017708779211,0.0007852250007925065,29.46968611837821,0.9721587696665253,0.9430050421855325,0.0005013682353796104,0.9645103362030565,0.0047391039915187835,0.028620041573949043,16.989682707747672,0.7048790108399118,9.371691346343933,3.444355967660711,0.00569770315704252,30
3ca27ee8,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,detached,1.4711035761413191,0.00029569223925773105,45.33976089065037,0.9420665670405086,0.9943541128553713,0.00045867028933948737,0.955276496683549,0.0019461211687965413,0.08343078595778343,11.894501789925954,0.33065117182887954,2.110338467688323,0.34431006137855663,0.02139605359364257,14
52021a43,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,detached,1.4488286741756038,0.0006909491985084182,47.20067339243328,0.8133790648614134,0.9206829530439207,0.0021993129611459538,0.9358646781296164,0.00010390934238117925,0.00015176175972003884,21.01603408967029,2.7660786537685365,1.7065363527089306,2.6171101019856917,0.026194214315346204,12
0483c287,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,detached,ok,1.456255133508098,0.0002793448605161207,34.46054843462723,0.8155028942760457,0.9005133014146247,0.0018021412597928734,0.9194273953512042,1.9220455160385638e-05,0.0003864873723630602,11.24005745108039,3.208750441218675,1.114089463808324,1.4379036661621074,0.0185967901617442,22
0fda67ca,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.4358954202952512,0.0005005547422691188,39.80375255101665,0.9064246629767225,0.9768316184731464,0.0037549734253882563,0.9609795627500811,0.01184931199333229,0.003960053813015536,31.446259258926442,2.5963635783727006,41.99461730098195,0.197175954310064,0.012073611573765573,9
64d6856a,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,999.0,0.0,0.0,ok,detached,1.6219967144952077,0.0003729150847717064,19.725668153204786,0.8,0.999,0.0005887424345771955,0.9038076188775906,0.012045655835447356,1e-05,10.000058446646525,2.7163000914057798,18.471599991798687,9.69524002840546,0.018870923500673077,30
