id,cost,total_movement,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations
fe93be28,0.0009933738226152846,0.0009933738226152846,1.6280000000000001,0.0008,10.0,0.9093858641090091,0.9946237227781521,0.000667041325198778,0.9875569509007529,0.0005918218084330094,1e-05,100.0,2.3944828129459452,1.1759285898903755,5.75726487860823,0.0327445567430823,28
7d63b91c,0.0013696993768767011,0.0013696993768767011,1.6280000000000001,0.0001,10.0,0.99,0.9888339800571402,0.0011415985649063862,0.9,1e-05,0.0002613459992732968,100.0,1.2375460684521076,49.99999999999999,0.5928482832939789,0.01692755211410365,5
dc86da18,0.0014610638330321663,0.0014610638330321663,1.6280000000000001,0.0008,10.0,0.9137208216514818,0.9339344059107861,0.00011903526954275616,0.9583979812615279,0.00022356832399744093,0.1,96.88634515869913,3.8745785630244387,39.98075958510552,3.6704937706014618,0.029017090312252115,8
ed6adb2c,0.0015952980054844104,0.0015952980054844104,1.6280000000000001,0.00013009320051357202,10.0,0.99,0.987485973863464,0.0013809362910852145,0.9,1.3074073897908587e-05,3.64739951720383e-05,100.0,1.7451482839342105,2.1547467050836406,2.4752788513947017,0.01745335589836091,5
bbc16f2e,0.0016744447661826028,0.0016744447661826028,1.57790742033326,0.0005805462674217765,10.0,0.8943840838833926,1.0,0.01,0.9929683686160138,0.07004174503638193,0.022091162404388295,71.53863232471345,1.1275273721948,1.4797105366926302,4.907587632857971,0.08233325047490467,13
a0e2e14d,0.002689919565643588,0.002689919565643588,1.6280000000000001,0.0008,10.0,0.8,0.922243221261871,0.0001,0.9420075323682627,0.1,1e-05,100.0,4.999999999999999,49.99999999999999,10.0,0.030843970677716933,17
1a376f08,0.0027189374755371633,0.0027189374755371633,1.6280000000000001,0.00010271661519549089,10.0,0.9871850290029415,1.0,0.01,0.9175586503062445,0.000120714713737661,0.0038140731597942393,53.3366852236895,0.6572315473019168,49.99999999999999,3.1398703675576782,0.01785705122543599,14
8320216f,0.0028472016916140427,0.0028472016916140427,1.6280000000000001,0.0008,10.0,0.8,1.0,0.01,0.9,1e-05,1e-05,100.0,0.15799004465530372,49.99999999999999,1.195129577138288,0.05729838843011534,23
ce0ef821,0.003147805584242324,0.003147805584242324,1.6280000000000001,0.0006799127319389699,31.93583661761204,0.8572584740042786,0.992646484450374,0.003990674884565774,0.9,4.188997853947263e-05,4.626911015235805e-05,72.8894660284352,4.918078271847434,14.47643143529828,0.4641658965612733,0.0575128007018379,17
914010e8,0.003440841711609118,0.003440841711609118,1.4977783648563814,0.0008,50.0,0.99,1.0,0.01,0.9095740463011793,1e-05,2.115442767113321e-05,100.0,0.4708186262739037,2.782630425295733,0.1,0.028563859926181438,30
39d4f024,0.004114955401504129,0.004114955401504129,1.5333710314219828,0.0004153494763786802,10.530598446394661,0.979018333580122,0.9563288217845539,0.0005899741796710488,0.9015966252220214,8.386394780402563e-05,9.20665489227477e-05,48.2240320006911,1.0873416514163665,26.035934051088407,0.22219245475399152,0.01613435412811832,10
a61e30af,0.0044812751683725805,0.0044812751683725805,1.5541237877543534,0.0006202351563248237,27.03863681668925,0.8692960198090561,0.960120941905566,0.0021744717225238475,0.9053648550645388,0.00012842570740128153,5.922995648667854e-05,73.52581254390654,0.4533581880346417,45.389622253000276,0.6400456682176009,0.05758927573191088,25
6e512d73,0.004628931726626695,0.004628931726626695,1.4013945378157067,0.0003039744907688871,10.0,0.99,0.9856156579661168,0.00028060671481276955,0.9,1e-05,5.0412868722468965e-05,100.0,0.12002449744033765,49.99999999999999,0.2240192594793147,0.01533602545579239,5
d985845c,0.0050382715746025266,0.0050382715746025266,1.6280000000000001,0.0004074241663268652,10.0,0.8367182810103825,0.9004354602099266,0.01,0.9303644953023228,1.4153915384406856e-05,0.1,100.0,0.1,17.07609254185027,1.0733364694708663,0.1,21
1fd2f675,0.005098789062828179,0.005098789062828179,1.6280000000000001,0.0005690534743232164,13.902255646102494,0.9899580699932113,0.9,0.0001,0.9,0.002178288979356356,0.007123801315426145,100.0,0.12026923265298091,49.99999999999999,0.10004200605917438,0.05749617323789644,30
3ebcb9aa,0.005516481264348331,0.005516481264348331,1.565891959997237,0.000524171982346708,47.05203514053397,0.9237046348453695,0.9914959675543781,0.0050127628110142345,0.9449450674138203,2.4079111954644568e-05,0.0003042797205957132,46.648883383260554,1.3532626924992421,10.106416797231836,0.3543590967245047,0.026863620044473364,15
c5142f6f,0.005538588714223707,0.005538588714223707,1.4464889549291668,0.0001,10.0,0.9631801106578004,0.9823115519721988,0.01,0.9776899504870659,1e-05,0.004338109047896598,60.595923791462575,2.826906962781475,11.784669208889321,0.1,0.08943172029900992,12
0ac61e98,0.005574553740517161,0.005574553740517161,1.332,0.0001,14.887293273504431,0.8,0.9124768071041425,0.0003155527517815101,1.0,0.1,0.1,100.0,3.8477739221946954,49.99999999999999,10.0,0.010766775748793174,5
195538c3,0.005699651907011781,0.005699651907011781,1.6280000000000001,0.0004708696001804314,10.0,0.8183925691662404,0.9124128697530608,0.01,0.9312832086254369,3.640732334233709e-05,0.1,92.44274292124116,0.10000153404287038,14.248403203648541,0.7989044315140572,0.09935229112522212,21
3074417f,0.0059453026974022015,0.0059453026974022015,1.540831828758253,0.0001,18.957592530671647,0.99,1.0,0.01,0.9,1e-05,0.1,100.0,0.1,6.4015274821421295,0.1,0.030782344117327432,17
405c90f9,0.006124749093773708,0.006124749093773708,1.5132335001210184,0.0007306643381012885,29.53482163852733,0.9626171074557787,0.9396313958705579,0.007494183253318523,0.9,0.0013006463545036174,0.00014021430559081453,90.66400204624813,0.2860225878590106,30.582215490899728,0.1,0.05259238497270769,30
