id,cost,avg_vel,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations
3714fbba,0.007429703745631233,2.0074297037456312,1.5517771532038256,0.00045213234926175754,37.91600275401511,0.8277049308476541,1.0,0.0037183253306158795,0.9455446403679633,0.1,0.000823617748207353,23.830723555206458,0.3493387333989066,3.109833504392459,0.9587997455140442,0.00867407935310102,28
0d01d2a1,0.01930686956455907,1.980693130435441,1.5225193758438151,0.00027725087430355066,43.79101718136858,0.99,0.9700550990519975,0.006098650858645651,0.9046576346130439,0.00014241685149082246,0.0002939570246255574,28.60416816161462,1.1367102162812386,2.9565192853645557,0.70725333625419,0.009086323479317055,30
7e0aafc9,0.023380245060599325,2.0233802450605993,1.4644315737599163,0.00033930173100271834,22.906639278812133,0.9376973469298253,0.9917375752585492,0.0006541316473962054,0.9841005233791518,0.1,9.729667668355986e-05,28.447844937953114,4.722947530181579,2.5207582105927235,0.8343125448804556,0.007992711407270094,30
a37abb52,0.03660804434434661,1.9633919556556534,1.33839036698175,0.00015837318041018376,45.42186943619133,0.99,0.9930646577440451,0.00022088264163164491,0.95098692886128,1.0948743064376425e-05,0.010308828670102051,18.878295143389423,1.1560467706192452,2.96152485707818,0.6390668912535419,0.011262590164544884,30
3d4a769d,0.049200986933114255,1.9507990130668857,1.5938275978003456,0.0006103040490537137,27.533652697033133,0.9082235283038894,0.9751956955373844,0.000585210099858457,0.9401387769886007,0.05266301351067683,0.002888079584360228,25.34737275566149,0.39702716510555713,3.1430612534540505,0.9634571384261551,0.008800575831134597,24
9184baca,0.05351606546480503,1.946483934535195,1.6280000000000001,0.00026895921828357094,24.73750949052063,0.9161403816536532,0.9602685283376027,0.00045660181516572214,0.9089865764822094,0.0010438018454670905,0.0006310388045693401,25.423350902001488,0.3988592452827689,3.1045983732013593,1.0169959975278344,0.00936228745021244,25
a6ae3fcc,0.08133332764750278,1.9186666723524972,1.362587013616145,0.00016954441178717417,50.0,0.847651059894958,0.972619268164397,0.00013580904119375937,0.9264277949911975,0.1,1e-05,23.5365391679249,0.21848992303742296,3.078697583881386,0.9084846997160889,0.008830124684576732,11
95681fe1,0.08796266577512069,1.9120373342248793,1.6035089031823107,0.0007442041496052114,21.529511687386517,0.9564052210323455,0.9999736844420231,0.0006826399143024759,0.9793233071602936,0.07041554881996513,0.0007048108427608254,28.827079512972887,4.564517501409899,2.4795056664108435,0.7964246358899348,0.008117158465630547,24
051793cb,0.10102274795665434,1.8989772520433457,1.6031911626601947,0.00027578374213784655,36.139784163185595,0.9188217965587505,1.0,0.000889741865782166,0.9169808513738901,0.014227569882679434,0.00014748507133476976,25.016308724532546,2.0306027037144467,3.1231369403083673,0.9609430047621242,0.008762638936273808,25
4a772b72,0.10894223076781984,1.8910577692321802,1.6255835243500933,0.0004829460322953527,34.41088952364998,0.8,0.9494711416495705,0.0007975844395706565,0.9838606990727323,0.0004068240337888164,0.0024376703052501783,27.109534918354342,0.27937113773756317,3.205491407613594,1.3073281774254606,0.008825894615497683,23
