id,cost,avg_vel,avg_x_disp,avg_y_disp,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations,max_force_per_wheel
7c1be705,2.05344148176213,1.5318163991706772,0.06005108705355053,7.866238317610485,1.4992464140266395,0.000441393787304604,18.46185474189666,0.8639180264708746,0.9939712770129638,0.0004241134493099953,0.9007164072067917,0.1,2.6922578546284984e-05,774.636839738291,4.999999999999999,8.043258038414018,4.45200350581127,0.008358268780325194,14,145.63579632370576
6d970cdb,2.852934694653304,0.475778115305164,0.00016377092189154285,6.643400278870449,1.493896439333572,0.0003568245860773696,20.516030832846848,0.8302485566963846,0.9827372917447538,0.000278686796814648,0.9342782950234109,1.4517958946324154e-05,0.0001512480112606573,906.8380603237423,4.961457507680728,7.494553571266264,4.601189064186748,0.00714235828531618,20,235.92597914457508
d5153cfa,4.029425603761224,-1.2666007458251858,0.00025714054598815345,3.813867149134203,1.4945161732206738,0.0004898478743832304,17.039854040707922,0.9038458361402837,0.9449313191756247,0.0002716412124237355,0.9095493286657793,0.0981732538863122,0.06367394190237417,887.7376609753062,4.947283250640969,7.56994038463726,4.559068182752459,0.007317413672427476,15,54.303048512561844
10c31b47,6.953432074030107,-4.773028693639389,0.8069773783163141,0.09503952363727597,1.5874554152148153,0.00045604156674612536,15.556441412679593,0.8293272636550659,0.943407642527675,0.000281779759274398,0.9395285190783135,6.765126918548665e-05,0.000299622976250385,600.3893374757458,4.940969437169649,7.398732951391718,4.555157290581323,0.046206434315310185,12,79.37699968680653
c9c3e9bc,20.711326641359427,-11.411068762381758,0.7213108782226532,35.7799785166657,1.4821485207844414,0.0004152601441454884,29.674866920715992,0.8119706481083012,0.9819893196422191,0.0003057544781594077,0.9217458541579074,0.04974235781982391,4.385214532679572e-05,538.4337353245196,4.999999999999999,14.616700150832177,4.377677698662244,0.008481127179086261,10,132.52466663536978
e09da2a4,21.94742355472738,-12.254796952408965,0.6256501078541993,37.837482903737865,1.4809223708563342,0.0004036710295978465,44.105614103598974,0.8317089566281963,0.9526240555586113,0.00023284964448161278,0.9514340886522138,3.2217762017989256e-05,0.0053849063203877945,326.77986077543176,4.953739200839119,15.14444215403244,4.277043581462522,0.008815086763093644,6,105.82916725286428
e61a73e3,23.215035075026798,-13.119134415457046,0.2831001023617935,40.19640319548696,1.4797627781280844,0.00039890781445674434,43.036505150878945,0.9040496803995576,0.9411293454742468,0.000977781033166884,0.9818382128862174,0.0007454970869426713,0.012037396137863634,492.720818303977,0.6673002993085752,15.53137054175225,4.278397622673362,0.008952949007974382,21,117.44376646914039
35076b53,27.255885082849446,-16.089370750705974,1.1066211390697973,44.725950521647555,1.470701939126743,0.0004028733857607379,42.59817428087567,0.9054849442561382,0.9414715773534168,0.0008933282697271241,0.9823647049278034,0.0007529898704802827,0.012388442042000744,485.0444434232575,0.5410968278495116,15.90140714592913,4.18430982075705,0.008652168863208937,21,109.31371535955205
93617539,32.956871901529205,-22.494178325255856,2.933184926430895,39.38028295493585,1.483089514911945,0.0001898937391426968,50.0,0.8745231744269966,0.9341421874031712,0.01,0.9713014756099836,0.0005886150167912048,0.01047960869303875,499.99740815246633,4.999999999999999,17.75966235537658,3.890900663538905,0.01807704107211583,21,300.0
1d69c7c3,36.171586795852505,-23.45055626744481,1.778629824843229,51.82652281719523,1.4893544024184926,0.00018941224901763705,50.0,0.8812922405775429,0.9356369169840079,0.01,0.9690597269727111,0.0005006843021665423,0.007175182184430096,513.7583845314342,4.999999999999999,18.832232047137158,3.154572382664038,0.020073661611447635,20,300.0
