id,cost,total_movement,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kv,max_magnetic_distance,noslip_iterations,max_force_per_wheel
88e6b286,0.00720146644795235,0.00720146644795235,1.6036447607319413,0.0006635718955548418,14.825637422413498,0.9442003128657761,0.9209852343251878,0.00011928325740727388,0.9139666238120243,0.00029353823711273947,1.1066813535244745e-05,513.0295698243935,1.3322231110133524,0.560641234655082,0.027328479281066118,29,97.24806588798677
554e9763,0.016199647165825143,0.016199647165825143,1.5555869774540252,0.00039760911214387133,18.317666514727556,0.9078630622857984,0.9031313292455558,0.004836927180682221,0.9449754133369765,0.00038071583792493945,0.05089035297840717,754.5447962707789,0.3587426165320525,1.3832094546570484,0.023800769554230893,29,196.91503323109762
2f3d4f85,0.018437749435015447,0.018437749435015447,1.5896361095524774,0.00037664337902560975,18.64711147057312,0.9351326035962604,0.9,0.004951050760869636,0.9370217911225127,0.00012870520387234894,0.030687393254180663,770.0214390350767,0.37204433854662733,1.2611954561780427,0.015441989272600426,30,207.56162597786542
eaf9ed5a,0.01901564965070094,0.01901564965070094,1.6280000000000001,0.000790824023373006,50.0,0.8,0.91543942227272,0.0001,1.0,0.1,0.00026678551268390007,100.0,0.3985073724126872,0.6764681710006086,0.039587384535471844,23,73.76557885794139
5f2f3ef7,0.026036340336680133,0.026036340336680133,1.617936674502105,0.0007313281907758578,10.0,0.99,0.9988617807762326,0.0033570940638719816,0.9694092866443202,6.0287334385227665e-05,0.0002332695167224046,335.5749017878634,0.11119299135888189,1.5006148805784723,0.008774576386482047,12,104.24734566787419
b743f769,0.027422454438294205,0.027422454438294205,1.5809010485035655,0.0007464556063824429,10.29912667347812,0.9878011711875319,0.9978238419983642,0.003319676049033541,0.9764047743512614,0.0001294846987291326,0.0004131525468526048,321.0516203034888,0.10919582148605388,1.5300031414892767,0.012809142514983806,12,98.7163252314877
7e45b360,0.06459233634356955,0.06459233634356955,1.6279278914612179,0.00024403926778575493,19.2225788741164,0.984245199386276,0.9,0.004888062572318084,0.9141839860142033,1.0001970147453406e-05,0.005392068558464275,688.5765418359446,0.1764314184939983,0.4779647622932511,0.006903883213919991,30,230.36377571141335
d1501eea,0.9271260647126348,0.9271260647126348,1.478383170763729,0.0008,10.0,0.8,0.9907116072233386,0.0001,0.9526060051839987,0.1,2.324416237487263e-05,100.0,4.999999999999999,0.19225562341758984,0.1,28,300.0
2e193e62,0.9580653354962761,0.9580653354962761,1.3945624961055667,0.0007121988713580949,16.13982568941621,0.8,1.0,0.0001,0.9951089670313525,0.1,0.01022065598759379,656.92782629403,4.999999999999999,0.1,0.09849208123853286,29,300.0
49efdd5c,1.0373152321726256,1.0373152321726256,1.3695239770663459,0.0008,32.99833368215395,0.8,0.9692165582945632,0.00021651677541014987,0.952962875601326,0.027763114754413603,0.05956931703630521,565.0473048471506,0.4998392072113665,0.1,0.1,12,300.0
c9dcfa2c,1.5410792358848675,1.5410792358848675,1.5147745268498043,0.0005281572123417967,10.282652208788697,0.804381860757869,0.9524774660258389,0.0006305535040199287,0.9046665663213616,0.07852755494724264,8.532678095658718e-05,181.54579107953873,1.1236195345220408,0.5820013372709852,0.09510051733106892,17,205.30446346089698
7849d39b,3.543977287894789,3.543977287894789,1.5333710314219828,0.0004153494763786802,10.530598446394661,0.979018333580122,0.9563288217845539,0.0005899741796710488,0.9015966252220214,8.386394780402563e-05,9.20665489227477e-05,714.9371669429125,1.0873416514163665,4.638630972397282,0.008404707789959715,15,32.76093330479881
afa9f37e,12.633099801603699,12.633099801603699,1.3655782276492971,0.0005648314133568942,31.443310759160997,0.809679846881107,0.9216442173304725,0.0003360182407268703,0.9970847775890888,0.0003540063191888163,0.028925439939432633,619.1661010339214,1.6680408240970224,0.10274979689389128,0.04837279730538792,20,135.06399603308014
605db2b6,22.791347718743772,22.791347718743772,1.567776724110629,0.00022840435290631466,41.18764001091078,0.9134015300098326,0.9445832752853591,0.00015847101210439096,0.9459248891965868,0.00021618942406574447,3.727925903376984e-05,685.7996256539677,0.12469285841461956,2.7796975515266826,0.08318695571501734,5,293.7388144391993
e249b100,22.960143555914787,22.960143555914787,1.5288297961779895,0.00039106774102871147,20.480276417609318,0.944027354918531,0.9029648367648347,0.0009411393790474062,0.935690451697649,0.012558148750768952,0.0008060359280813656,402.1303412583773,0.21234819164606422,7.400279011048156,0.008550187177115727,27,43.21161178744081
ce829440,67.250491481809,67.250491481809,1.4160927563137968,0.0007045522809055845,18.49494305963119,0.8,0.9,0.007359571554398168,0.9875941377488766,0.07573598346817455,0.1,590.1793418762801,0.37182046447136874,10.0,0.1,30,238.73432637122647
55e57ced,95.42024457235384,95.42024457235384,1.6280000000000001,0.0001,13.600258753607086,0.8945769212540599,0.9,0.00021271157265526165,0.9,0.03145894324702794,1e-05,100.0,4.999999999999999,6.661208567022453,0.01128989207968542,9,20.000000000000004
06801c5e,108.83979651047063,108.83979651047063,1.333555221254707,0.0002435800892774283,50.0,0.8278801983556465,0.9,0.0016087047752437816,1.0,1e-05,0.1,1000.0,4.999999999999999,0.12011834949643206,0.1,30,20.000000000000004
0a08b9b3,113.84965518867182,113.84965518867182,1.332,0.0008,10.0,0.8,0.9203146446833013,0.01,0.9,0.0003023795812634583,0.1,1000.0,3.371297406973045,3.300961600298003,0.1,30,20.000000000000004
e6983c16,756.0484404004084,756.0484404004084,1.4628827118477858,0.0007037112129483665,18.11070263725652,0.8069432798356027,0.9048012122408038,0.004891343143483068,0.9968459240800418,0.1,0.1,921.1633752205178,2.1706850224200807,10.0,0.1,29,151.52711084913633
